ID	Days	TumorSize	Group
N1	6	104.5	NT
N1	7	129.8	NT
N1	8	288	NT
N1	9	413.2	NT
N1	11	516.3	NT
N1	12	985.1	NT
N1	13	1027	NT
N2	6	58.6	NT
N2	7	107.9	NT
N2	8	214.3	NT
N2	9	497.6	NT
N2	11	690.3	NT
N2	12	908.2	NT
N2	13	1488	NT
N2	14	1864	NT
N3	6	157.9	NT
N3	7	225.6	NT
N3	8	335.9	NT
N3	9	501.1	NT
N3	11	731.5	NT
N3	12	837.2	NT
N3	13	1512.5	NT
N4	6	132.3	NT
N4	7	218.6	NT
N4	8	425.3	NT
N4	9	601.2	NT
N4	11	778.4	NT
N4	12	814.3	NT
N4	13	1600	NT
N5	6	110.3	NT
N5	7	80.3	NT
N5	8	23.1	NT
N5	9	335.9	NT
N5	11	560.9	NT
N5	12	1035.8	NT
N5	13	1193.2	NT
N5	14	1555.5	NT
WT1	6	129.5	WT
WT1	7	75	WT
WT1	8	47.8	WT
WT1	9	184.7	WT
WT1	11	260.6	WT
WT1	12	390.7	WT
WT1	13	509.7	WT
WT1	14	704	WT
WT1	15	1048	WT
WT1	17	1550	WT
WT1	18	1880	WT
WT2	6	131.6	WT
WT2	7	77.6	WT
WT2	8	76.8	WT
WT2	9	138.2	WT
WT2	11	277.8	WT
WT2	12	333.3	WT
WT2	13	482.1	WT
WT2	14	534.4	WT
WT2	15	744.6	WT
WT2	17	818.1	WT
WT2	18	1300.5	WT
WT2	19	1702	WT
WT3	6	180.6	WT
WT3	7	100.1	WT
WT3	8	81.2	WT
WT3	9	126.9	WT
WT3	11	243.7	WT
WT3	12	268	WT
WT3	13	415	WT
WT3	14	576	WT
WT3	15	767.1	WT
WT3	17	1038.1	WT
WT3	18	1149.2	WT
WT3	19	1452	WT
WT4	6	150.9	WT
WT4	7	122.2	WT
WT4	8	57.5	WT
WT4	9	104.5	WT
WT4	11	118.3	WT
WT4	12	135.5	WT
WT4	13	261.3	WT
WT4	14	561.7	WT
WT4	15	709.2	WT
WT4	17	995.3	WT
WT4	18	1385	WT
WT4	19	1771	WT
KO2	6	150.8	KO
KO2	7	30	KO
KO2	8	29.9	KO
KO2	9	13.8	KO
KO2	11	11.7	KO
KO2	12	8.1	KO
KO2	13	2.3	KO
KO2	14	2	KO
KO2	15	30.6	KO
KO2	17	60.8	KO
KO2	18	69.8	KO
KO2	19	70.5	KO
KO2	20	200.1	KO
KO2	22	323.4	KO
KO2	24	420.5	KO
KO2	25	523.3	KO
KO3	6	133.2	KO
KO3	7	29.3	KO
KO3	8	25.6	KO
KO3	9	5.1	KO
KO3	11	6.15	KO
KO3	12	29.8	KO
KO3	13	36	KO
KO3	14	43	KO
KO3	15	170.3	KO
KO3	17	175.9	KO
KO3	18	276	KO
KO3	19	279	KO
KO3	20	380.9	KO
KO3	22	397.1	KO
KO3	24	444.7	KO
KO3	25	501.7	KO
KO4	6	100.8	KO
KO4	7	43.5	KO
KO4	8	30.9	KO
KO4	9	21.9	KO
KO4	11	28.3	KO
KO4	12	46.5	KO
KO4	13	80.9	KO
KO4	14	167.2	KO
KO4	15	190.2	KO
KO4	17	195.2	KO
KO4	18	174.3	KO
KO4	19	300.3	KO
KO4	20	450.3	KO
KO4	22	550.1	KO
KO4	24	630.3	KO
KO4	25	725.3	KO
KO5	6	80.2	KO
KO5	7	43.3	KO
KO5	8	26.2	KO
KO5	9	22.9	KO
KO5	11	23.4	KO
KO5	12	26.6	KO
KO5	13	25.8	KO
KO5	14	26.7	KO
KO5	15	30	KO
KO5	17	49.9	KO
KO5	18	60.9	KO
KO5	19	100.1	KO
KO5	20	172.6	KO
KO5	22	180	KO
KO5	24	175.4	KO
KO5	25	180.5	KO
