ID	Days	TumorSize	Group
NT1	6	104.5	NT
NT1	8	129.8	NT
NT1	10	516.3	NT
NT1	12	985.1	NT
NT1	14	1027	NT
NT1	15	1900	NT
NT2	6	58.6	NT
NT2	8	107.9	NT
NT2	10	690.3	NT
NT2	12	908.2	NT
NT2	14	1488	NT
NT2	15	1800	NT
NT3	6	157.9	NT
NT3	8	225.6	NT
NT3	10	731.5	NT
NT3	12	837.2	NT
NT3	14	1512.5	NT
NT3	15	2200	NT
NT4	6	132.3	NT
NT4	8	218.6	NT
NT4	10	778.4	NT
NT4	12	814.3	NT
NT4	14	1600	NT
NT4	15	2100	NT
WT1	6	50.1	WT
WT1	8	164.3	WT
WT1	10	492.8	WT
WT1	12	681	WT
WT1	14	1350	WT
WT1	15	1800	WT
WT2	6	57.6	WT
WT2	8	185	WT
WT2	10	250	WT
WT2	12	287.5	WT
WT2	14	571.8	WT
WT2	15	888	WT
WT2	16	1300	WT
WT2	18	1788	WT
WT3	6	20	WT
WT3	8	250.1	WT
WT3	10	373.3	WT
WT3	12	414.7	WT
WT3	14	658.5	WT
WT3	15	884.7	WT
WT3	16	1500	WT
WT3	18	1928	WT
WT4	6	47.1	WT
WT4	8	285.8	WT
WT4	10	405.2	WT
WT4	12	593	WT
WT4	14	928.6	WT
WT4	15	1403	WT
WT4	16	1872	WT
WT5	6	80.9	WT
WT5	8	301	WT
WT5	10	466.9	WT
WT5	12	653.8	WT
WT5	14	726.6	WT
WT5	15	1296	WT
WT5	16	1936	WT
KO1	6	36.1	KO
KO1	8	36	KO
KO1	10	100	KO
KO1	12	112	KO
KO1	14	116	KO
KO1	15	166	KO
KO1	16	216	KO
KO1	18	342.5	KO
KO1	20	400.6	KO
KO1	22	423.6	KO
KO1	24	511.36	KO
KO2	6	30.1	KO
KO2	8	30	KO
KO2	10	125	KO
KO2	12	178	KO
KO2	14	256	KO
KO2	15	310	KO
KO2	16	336	KO
KO2	18	400.9	KO
KO2	20	450	KO
KO2	22	474.5	KO
KO2	24	529.3	KO
KO3	6	37	KO
KO3	8	38	KO
KO3	10	89	KO
KO3	12	156	KO
KO3	14	236	KO
KO3	15	289	KO
KO3	16	356	KO
KO3	18	478	KO
KO3	20	556	KO
KO3	22	658.5	KO
KO3	24	729	KO
KO4	6	114.8	KO
KO4	8	166.4	KO
KO4	10	200	KO
KO4	12	266	KO
KO4	14	280	KO
KO4	15	484	KO
KO4	16	511	KO
KO4	18	726	KO
KO4	20	823.3	KO
KO4	22	850.9	KO
KO4	24	921.3	KO
KO5	6	110.8	KO
KO5	8	169.8	KO
KO5	10	177	KO
KO5	12	300.7	KO
KO5	14	326.9	KO
KO5	15	456	KO
KO5	16	621	KO
KO5	18	891	KO
KO5	20	931	KO
KO5	22	966	KO
KO5	24	1009	KO
